age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,5,346624,15,2,2,7,0,4,1,5,2,40,38,0
44,3,216154,1,13,2,0,1,2,1,6319,2,40,38,0
24,3,154232,11,10,4,0,1,2,0,1,-6,53,38,0
32,3,303348,9,10,2,9,0,4,1,107,5,38,38,1
29,3,199246,11,9,2,5,0,4,1,-45,3,66,38,0
44,3,149525,9,9,5,14,1,4,0,32,5,40,38,1
49,3,212016,15,13,2,3,1,4,1,19,2,14,38,0
40,3,290438,15,9,4,3,3,4,1,90,0,40,38,0
50,3,166973,14,9,5,13,0,4,1,38,-4,40,20,0
67,3,186560,15,12,5,12,3,4,1,-1,2,29,38,0
56,3,30561,7,9,2,11,0,4,1,6,7,44,38,0
53,3,138977,16,10,4,9,0,4,1,-23,-1,40,38,0
33,3,219038,12,11,2,2,1,4,1,-7,6,29,38,0
25,0,190362,11,9,0,3,4,4,0,86,4,49,38,1
35,3,233023,11,13,4,2,2,4,0,-49,-2,16,38,0
43,5,167649,15,9,4,0,1,3,1,-4,-2,40,38,0
38,3,285329,15,10,3,12,3,4,0,-28,1531,40,38,0
92,5,203318,12,9,2,3,1,4,0,-30,3,50,38,1
48,7,205010,15,10,6,4,0,4,1,45,1673,40,38,1
51,5,376792,11,13,0,0,0,4,1,87,-2,50,25,0
47,3,97013,15,9,2,11,3,4,1,50,2,51,38,0
22,3,42633,9,9,2,0,0,4,1,-93,1,40,38,1
71,3,142912,11,7,3,0,0,4,1,7,6,40,38,0
18,3,53807,15,13,2,13,2,4,1,34,-3,40,38,0
42,3,251957,11,7,2,9,4,4,1,-31,-4,35,38,0
23,2,205475,15,13,0,0,2,4,1,4,6,40,27,0
23,3,304773,14,6,6,11,0,4,1,-69,1,23,38,1
51,3,61630,11,14,2,14,1,2,0,71,1,15,38,0
31,7,575579,15,13,2,9,2,4,0,8,-1,40,38,0
26,3,187051,15,13,2,12,3,4,1,69,-1,40,38,0
42,1,217889,15,7,2,0,5,0,1,30,-3,40,38,1
51,5,382831,15,13,0,10,0,2,0,72,0,36,38,1
41,3,450735,15,9,2,2,3,4,1,28,6,40,38,0
46,2,140985,15,13,0,3,0,4,1,-74,-1,40,38,0
37,4,293334,0,13,0,14,0,4,1,-64,5,40,38,0
47,3,215982,14,9,0,5,3,4,0,84,-1,50,38,1
56,3,183332,8,7,2,7,0,4,1,57,2,40,38,0
30,7,198029,15,9,2,14,3,4,1,85,5,101,38,0
32,3,154420,15,2,2,7,5,2,1,86,0,40,38,1
68,1,107150,11,13,0,9,1,4,1,36,1,40,38,0
28,6,464546,9,9,2,0,4,4,1,29,-2,40,38,0
25,3,281264,12,13,2,3,4,4,1,39,1,58,38,0
26,3,612101,7,7,4,2,0,4,1,36,0,40,7,0
34,3,121241,11,10,4,12,1,4,0,54,-3,35,38,0
45,3,284531,15,13,6,8,0,4,1,15,-2,64,38,0
52,1,238818,15,13,4,2,3,4,1,70,5,40,38,1
43,6,206203,11,13,4,3,0,4,1,-41,0,40,38,1
29,3,199673,14,13,2,3,5,4,1,89,1,37,39,0
43,3,102890,11,9,4,11,4,2,1,99,-1,40,38,0
35,3,145026,11,5,2,14,1,4,1,30,5,40,38,1
35,1,108113,15,10,4,6,1,2,1,115,4,45,38,1
38,3,112557,15,13,2,7,3,4,0,-51,2,40,32,0
22,5,225731,15,10,2,3,1,4,1,-87,1,50,38,0
36,1,211800,14,3,2,9,4,1,0,-1,-1,49,38,0
20,3,247008,8,9,4,8,4,2,0,-49,0,40,38,0
43,7,62700,15,9,2,11,4,4,1,-46,2,40,38,0
28,3,419260,14,13,3,12,1,4,1,91,2,40,38,0
56,3,313660,11,17,0,7,4,4,0,17,1,40,38,0
28,0,104688,1,9,4,14,1,1,0,5,-2,40,38,0
32,3,381127,9,10,2,14,0,4,1,40,1,40,39,0
48,3,147217,8,14,5,2,0,4,1,30,4,40,38,0
32,3,103756,9,9,2,0,3,4,1,67,-1,40,38,0
48,3,195845,9,13,2,2,0,4,0,2,-4,40,38,0
19,3,198600,15,9,0,3,1,2,1,43,4,19,38,1
22,3,207577,14,13,0,3,1,4,1,-49,4,40,38,1
16,7,218426,11,9,2,14,1,3,1,-15,4,78,38,0
39,2,199776,15,7,4,9,0,4,1,5,0,50,15,0
62,3,192265,9,13,2,0,1,4,1,74,1,40,38,1
32,3,80747,8,13,2,9,3,4,1,-30,1963,40,38,0
42,3,204185,14,14,4,7,0,4,0,-115,-1,40,38,1
54,6,223393,9,9,0,15,0,4,1,19,2,40,38,1
17,3,248162,15,13,2,2,1,1,0,-25,5,29,38,0
31,3,182453,9,13,2,14,4,2,1,-43,3,13,38,0
45,3,63499,11,7,0,2,1,4,0,-6,5,40,38,0
50,3,170564,15,6,2,14,1,4,1,59,3,71,38,0
31,3,233244,11,13,2,14,5,4,1,27,-1,18,38,1
38,3,170719,9,13,5,7,5,2,1,8,1,40,38,0
56,1,218908,11,13,2,14,0,2,1,24,4,29,38,1
38,3,209137,11,9,2,11,0,4,1,17,2,18,38,0
46,6,176224,15,14,2,0,2,2,1,14,-1,24,38,0
31,3,222303,15,9,2,3,5,4,0,28,2,40,38,1
38,3,177720,11,12,4,9,5,4,0,74,-5,40,38,0
61,6,157786,1,10,0,14,1,3,1,-55,3,40,38,0
46,3,197308,11,9,5,7,5,4,1,-47,-3,37,38,1
48,3,109525,9,16,4,14,3,4,1,-109,1,32,38,0
57,3,199360,15,9,2,9,3,4,0,12911,1,75,38,1
45,7,215000,9,13,2,0,0,4,1,-8,0,40,38,0
42,3,88521,15,14,4,2,0,4,1,51,4,108,38,1
31,3,223368,15,9,2,12,1,4,0,72,5,40,38,1
16,3,200854,11,14,4,2,4,1,0,29,4,55,38,0
42,3,340964,8,13,2,7,0,4,1,128,3,95,38,0
34,3,204793,8,5,2,0,3,4,0,51,0,40,38,0
34,3,112587,16,9,2,11,1,4,1,108,5,40,38,1
33,3,164104,16,2,2,3,1,4,0,-60,1,40,38,0
38,3,232935,15,9,4,7,1,4,1,0,1411,20,26,0
34,3,234538,14,10,2,14,3,0,0,65,0,15,38,0
17,3,178804,15,13,4,3,3,3,1,-22,0,40,38,0
48,3,195768,8,13,0,0,0,2,1,-65,5,31,38,0
36,3,117887,10,10,2,4,1,3,0,17,1,62,38,1
21,3,182321,14,17,4,14,0,4,1,-46,3,40,38,0
48,5,144729,9,9,0,6,0,2,0,14,-1,40,38,0
53,3,91449,12,9,2,0,1,4,1,-100,6,40,38,1
21,1,473899,8,10,6,9,0,4,1,-80,-3,40,38,0
48,3,324346,15,10,2,14,3,4,1,-80,3,40,38,0
58,2,181336,14,9,6,12,1,4,1,37,0,44,38,0
