,0
tvd_age,0.07425000000000002
tvd_workclass,0.33049999999999996
tvd_fnlwgt,0.16025
tvd_education,0.03699999999999999
tvd_marital-status,0.15675
tvd_occupation,0.2
tvd_relationship,0.25525
tvd_race,0.11049999999999996
tvd_sex,0.01450000000000004
tvd_capital-gain,0.02075000000000002
tvd_capital-loss,0.07924999999999997
tvd_hours-per-week,0.11499999999999998
tvd_native-country,0.11299999999999999
tvd_income,0.04600000000000001
mean_corr_diff,
max_corr_diff,
pmse,0.09725639410139571
auc,0.876539375
